("IC 5045","U","312.675","-71.96666667","322.02201271","-34.79014086","D","Pav","","","","","eF, eS, R","9999","");
("IC 5044","U","312.65","-71.95","322.04430368","-34.78852948","D","Pav","","","","","eF, eS, R","9999","");
("NGC 2000","OC","81.85","-71.91666667","282.91250041","-32.17476833","R","Men","","","","","F, pL, R, vlbM","3600","");
("NGC 1789","OC","74.45","-71.9","283.59142797","-34.40016019","R","Men","","","","","vF, pS, R, vglbM","3600","");
("IC 5075","U","316.125","-71.85","321.67060614","-35.82882486","D","Pav","","","","","vF, S, cbM","9999","");
("NGC 1629","OC","67.325","-71.83333333","284.53855277","-36.47880891","R","Hyi","","","","","vF, pL, R, glbM","3600","");
("NGC 1840","OC","76.6","-71.81666667","283.25484941","-33.78586692","R","Men","","","","","F, R, bM, r","3600","");
("IC 5048","U","312.9","-71.8","322.18378689","-34.91281153","D","Pav","","","","","eF, vS","9999","");
("IC 5069","U","315","-71.8","321.89467024","-35.52467645","D","Pav","","","","","eF, S, R","9999","");
("IC 5051","U","313.075","-71.78333333","322.17994171","-34.96989084","D","Pav","","","","","eF, vS","9999","");
("NGC 411","U","16.975","-71.76666667","301.10239664","-45.303061","DD","Tuc","","","","","cB, S, R, stellar","9999","");
("NGC 422","U","17.225","-71.76666667","300.9916794","-45.29574273","DD","Tuc","","","","","only 3 eF st, close, in SMC","9999","");
("IC 1641","U","17.325","-71.76666667","300.94741293","-45.29269513","X","Tuc","","","","","eF, eS, R; = 422","9999","");
("IC 1660","U","18.15","-71.75","300.57993804","-45.28148567","D","Tuc","","","","","eF, vS, R, stell N or F* in M","9999","");
("NGC 2025","OC","83.275","-71.73333333","282.6065205","-31.77005525","R","Men","","","","","vB, vS, lE, gmbM, r","3600","");
("IC 4705","Gx","277.05","-71.7","322.90591813","-23.86834989","C","Pav","","2.7","","","eF, eS, R","6700","");
("IC 4712","Gx","277.775","-71.7","322.96682975","-24.08908495","C","Pav","","2.1","","","vF, vS, R, bM","6700","");
("NGC 1466","Gb","56.125","-71.68333333","286.71444038","-39.53511484","S","Hyi","","2.3","11.4","","pF, pS, iR, glbM, *7 f","3080","");
("IC 4929","Gx","301.675","-71.68333333","323.36020764","-31.53967698","C","Pav","","1.3","","","F, S, cE 15deg","6700","");
("IC 5060","U","313.65","-71.63333333","322.27467626","-35.19137925","D","Pav","","","","","eF, eS, bet 2 F st","9999","");
("IC 4704","Gx","276.975","-71.61666667","322.98763716","-23.82458956","C","Pav","","3.2","","","cB, bM","6700","");
("IC 4682","Gx","274.1","-71.58333333","322.75164399","-22.9427868","C","Pav","","2.5","","","vF, cS, cE 140deg , stell N","6700","");
("IC 4992","Gx","305.875","-71.56666667","323.20368788","-32.86190564","C","Pav","","2","","","vF, S, eE 65deg , *9 nf 2'","6700","");
("NGC 361","Gb","15.55","-71.55","301.71629967","-45.55284093","S","Tuc","","1.5","11.8","","vvF, pL, vlE, vgbM","3080","");
("NGC 458","U","18.725","-71.55","300.28917082","-45.45766881","DD","Tuc","","","","","prob Cl, eS, close, no neb","9999","");
("NGC 2213","Gb","92.675","-71.55","282.1022398","-28.83893476","R","Men","","","","","vF, S, R, glbM, ***  p","3080","");
("NGC 121","Gb","6.7","-71.53333333","305.70933998","-45.46181755","S","Tuc","","1.5","10.6","","pB, pS, lE, vgbM","3080","");
("NGC 6777","U","291.7","-71.5","323.81579959","-28.41277724","DD","Pav","","","","","2 st 8 or 9 mag nr (no neb)","9999","");
("NGC 2121","Gb","87","-71.46666667","282.11566876","-30.64008082","S","Men","","1.8","11.2","","vF, cL, vgbM","3080","");
("NGC 2466","Gx","116.3","-71.4","283.45789284","-21.48055834","V","Vol","","1.5","","","vF, S, R, lbM","6700","");
("IC 5118","U","325.075","-71.38333333","320.52569597","-38.53758167","D","Ind","","","","","vF, S, cE 35deg , *10 sp 2'","9999","");
("IC 1655","OC","17.975","-71.33333333","300.59002339","-45.70176029","X","Tuc","","","","","Cl, C, eF, vS","3600","");
("NGC 2103","C+N","85.4","-71.33333333","282.02808627","-31.16214741","R","Men","","","","","pB, L, pmE, gbM *13","3600","");
("NGC 1914","C+N","79.4","-71.23333333","282.31056565","-33.07437353","R","Men","","","","","F, L, iE","3600","");
("IC 1708","U","21.225","-71.18333333","299.07980314","-45.6938181","D","Hyi","","","","","vF, vS, R, *9 sf 4'","9999","");
("NGC 1848","C+N","76.825","-71.18333333","282.49793566","-33.89046787","R","Men","","","","","Cl, vlC, st 9...","3600","");
("NGC 2133","Gb","87.85","-71.18333333","281.75939937","-30.39482356","R","Men","","","","","F, pL, R, gpmbM","3080","");
("IC 5053","Gx","313.4","-71.13333333","322.88255245","-35.29080407","C","Pav","","1.9","","","cF, vS, bM, *11 n 2'","6700","");
("NGC 2134","OC","87.525","-71.11666667","281.69267494","-30.50510364","R","Men","","","11","p","glob. cl. , B, pL, R, gmbM, r","3600","");
("IC 5024","U","310.025","-71.1","323.34014107","-34.26481643","D","Pav","","","","","eF, S, mE 15deg","9999","");
("NGC 2018","Nb","82.65","-71.06666667","281.87126348","-32.07784941","S","Men","","25","","","pB, pL, R, pglbM, *10 p inv","3570","");
("IC 4853","U","292.725","-71.06666667","324.31317222","-28.73706133","D","Pav","","","","","eeF, eS, lE 170deg","9999","");
("IC 4945","Gx","302.825","-71.01666667","324.06628609","-32.00800855","C","Pav","","1","","","F, S, E 5deg , cbM","6700","");
("IC 5054","Gx","313.425","-71.01666667","323.01343228","-35.33846259","C","Pav","","1.8","","","cF, vS, bet 2 F st","6700","");
("NGC 2051","OC","84.05","-71","281.70992094","-31.63886925","R","Men","","","","","pB, S, R, gbM","3600","");
